iter	Logloss
0	0.683712275
1	0.6751292802
2	0.6679087485
3	0.6612720217
4	0.6550457982
5	0.6497517489
6	0.6445108543
7	0.6397206261
8	0.6358564702
9	0.6319555254
10	0.6285787417
11	0.6258774247
12	0.6226953361
13	0.6202483435
14	0.6176388872
15	0.6158462369
16	0.6140216963
17	0.6122156555
18	0.6103287494
19	0.6089355054
20	0.6073312166
21	0.6065216974
22	0.6050667747
23	0.6038487918
24	0.603070791
25	0.6022432943
26	0.6012939799
27	0.6006067274
28	0.5997117255
29	0.5991807591
30	0.5987509759
31	0.5980347539
32	0.597531437
33	0.5969384213
34	0.5966697939
35	0.5963348777
36	0.595786038
37	0.5952197585
38	0.5948128425
39	0.5945665535
40	0.5941632629
41	0.5938551671
42	0.5935838373
43	0.5931978291
44	0.5928358532
45	0.5924535537
46	0.5920481004
47	0.5918267844
48	0.5915935513
49	0.5913213956
50	0.5911638215
51	0.590981554
52	0.5908956691
53	0.590694067
54	0.5904852065
55	0.5903156351
56	0.5902245288
57	0.590044028
58	0.5898619321
59	0.5897053976
60	0.5896068938
61	0.5894054783
62	0.5892270781
63	0.5891654039
64	0.5890289189
65	0.5889015252
66	0.5888377475
67	0.5887185248
68	0.5885679181
69	0.5884290041
70	0.588275487
71	0.588232346
72	0.5881155646
73	0.5880035984
74	0.5878764766
75	0.5878289602
76	0.5877285957
77	0.5876945386
78	0.5875869803
79	0.5875463137
80	0.5874742919
81	0.5873704906
82	0.5872854149
83	0.5872048055
84	0.5871831137
85	0.5871686604
86	0.5870952758
87	0.5870562074
88	0.5870318237
89	0.5869300001
90	0.5868501149
91	0.5867031261
92	0.5866922212
93	0.5865891235
94	0.5865089364
95	0.5864923233
96	0.5863656793
97	0.586285853
98	0.5862279461
99	0.5861239205
100	0.5860086358
101	0.5858877546
102	0.5858051122
103	0.5857812419
104	0.5857564639
105	0.5856724725
106	0.5856392116
107	0.5855633676
108	0.5855163978
109	0.5854885522
110	0.5854520851
111	0.5854125334
112	0.5853680135
113	0.5853287264
114	0.5851931004
115	0.5850951794
116	0.5850301137
117	0.5849797283
118	0.5849481844
119	0.5848603656
120	0.5848392831
121	0.5848298881
122	0.5848140636
123	0.5847819523
124	0.5847763541
125	0.5846977509
126	0.584666654
127	0.5846506129
128	0.5845999785
129	0.5845358371
130	0.5845255567
131	0.5845203303
132	0.5845049915
133	0.58445286
134	0.5844197813
135	0.5843890678
136	0.5843682327
137	0.5843398184
138	0.5843306405
139	0.5841851705
140	0.5841650891
141	0.584139991
142	0.5841214647
143	0.5840631641
144	0.5840474179
145	0.5840258357
146	0.5840023877
147	0.583895987
148	0.5838455275
149	0.5838293402
150	0.5838274716
151	0.5838274395
152	0.583812947
153	0.5837990273
154	0.5837599873
155	0.5836997728
156	0.5836749722
157	0.583665203
158	0.5835969342
159	0.5835898647
160	0.5835252074
161	0.5834912457
162	0.5834583754
163	0.5834386598
164	0.5834348683
165	0.5834170515
166	0.5833479147
167	0.5833184952
168	0.5833082949
169	0.5833054903
170	0.5832784406
171	0.5831800332
172	0.5831358885
173	0.5831006438
174	0.5830262813
175	0.5830172228
176	0.5829911892
177	0.5829911694
178	0.5829863276
179	0.5829421742
180	0.5829262378
181	0.5828420576
182	0.5828101492
183	0.5828049252
184	0.5827170458
185	0.5826562607
186	0.582643095
187	0.5826404417
188	0.5826073557
189	0.5825926101
190	0.5825650814
191	0.582555949
192	0.582542627
193	0.5825310794
194	0.5825251877
195	0.5825222283
196	0.5825222087
197	0.5824944622
198	0.5824720657
199	0.5823944426
200	0.582371859
201	0.5823514703
202	0.5823473984
203	0.5822631347
204	0.582260228
205	0.5822571209
206	0.5822424206
207	0.5822307887
208	0.5821883803
209	0.5821513577
210	0.582134531
211	0.5820941743
212	0.5820910682
213	0.5820734662
214	0.5820576043
215	0.5820277008
216	0.5820016419
217	0.5819299488
218	0.5819224638
219	0.5818965579
220	0.5818786183
221	0.5818756967
222	0.581872413
223	0.5818142254
224	0.5818134495
225	0.581771765
226	0.5817660482
227	0.5817310451
228	0.5816969297
229	0.5816839686
230	0.5816790948
231	0.5816718298
232	0.5816660155
233	0.5816562294
234	0.5816463166
235	0.5816360692
236	0.5816345094
237	0.5816227425
238	0.5816118687
239	0.5816004794
240	0.5815836083
241	0.5815826718
242	0.5815802764
243	0.5815764252
244	0.5815637902
245	0.5815552497
246	0.5815531042
247	0.5815385987
248	0.5815026302
249	0.5814996715
250	0.5814838478
